Categoria,Precio,Nombre_Perfume,Marca,Nombre_Cliente,Apellido_Cliente,Edad,Sexo,Fecha_Compra,Email,Cesta
Hombre,126
Hombre,138
Unisex,151
Unisex,117
Mujer,162
Unisex,197
Hombre,147
Unisex,83
Mujer,115
Unisex,94
Mujer,150
Mujer,156
Unisex,108
Unisex,121
Mujer,71
Mujer,120
Hombre,136
Unisex,74
Hombre,78
Mujer,147
Hombre,179
Hombre,199
Hombre,174
Unisex,64
Hombre,133
Hombre,145
Mujer,162
Unisex,110
Mujer,184
Mujer,141
Hombre,95
Unisex,175
Mujer,109
Mujer,183
Unisex,72
Unisex,61
Hombre,131
Unisex,142
Mujer,136
Mujer,136
Mujer,166
Mujer,65
Mujer,179
Mujer,168
Unisex,153
Hombre,126
Hombre,61
Hombre,199
Unisex,123
Unisex,124
Hombre,197
Mujer,70
Hombre,88
Hombre,163
Hombre,123
Mujer,177
Unisex,194
Unisex,90
Hombre,151
Unisex,153
Hombre,177
Unisex,197
Hombre,184
Hombre,107
Mujer,178
Unisex,129
Hombre,122
Hombre,178
Mujer,154
Unisex,121
Unisex,61
Unisex,195
Unisex,182
Hombre,87
Unisex,167
Mujer,131
Unisex,160
Mujer,98
Hombre,150
Unisex,140
Unisex,100
Unisex,62
Unisex,152
Hombre,148
Mujer,78
Unisex,148
Unisex,91
Unisex,127
Mujer,170
Hombre,133
Unisex,52
Unisex,52
Hombre,186
Mujer,194
Hombre,65
Hombre,92
Mujer,76
Mujer,114
Hombre,66
Mujer,131
Unisex,95
Hombre,130
Hombre,72
Hombre,146
Hombre,135
Hombre,177
Hombre,197
Mujer,100
Hombre,118
Mujer,117
Mujer,66
Unisex,150
Hombre,187
Mujer,98
Unisex,95
Mujer,53
Mujer,197
Hombre,90
Hombre,147
Unisex,147
Unisex,90
Hombre,144
Unisex,79
Mujer,82
Hombre,143
Mujer,101
Hombre,159
Hombre,124
Hombre,50
Mujer,169
Hombre,114
Mujer,182
Unisex,126
Unisex,50
Unisex,108
Hombre,55
Hombre,191
Mujer,186
Hombre,164
Mujer,186
Hombre,117
Unisex,130
Unisex,136
Unisex,159
Unisex,90
Hombre,177
Unisex,160
Hombre,91
Mujer,146
Mujer,118
Mujer,77
Unisex,135
Mujer,161
Mujer,170
Unisex,117
Mujer,184
Unisex,191
Mujer,71
Mujer,67
Hombre,95
Unisex,154
Unisex,135
Hombre,98
Hombre,56
Mujer,125
Mujer,57
Unisex,145
Hombre,178
Unisex,143
Hombre,175
Mujer,182
Mujer,76
Mujer,169
Hombre,184
Hombre,183
Hombre,141
Unisex,166
Hombre,76
Hombre,140
Mujer,121
Hombre,147
Hombre,53
Unisex,90
Unisex,163
Unisex,180
Hombre,73
Unisex,158
Unisex,188
Unisex,160
Unisex,59
Mujer,105
Hombre,174
Hombre,192
Mujer,130
Mujer,155
Unisex,160
Hombre,176
Unisex,125
Mujer,152
Hombre,99
Unisex,180
Mujer,77
Hombre,156
Hombre,77
Hombre,127
Mujer,172
Unisex,171
Unisex,60
Unisex,57
Unisex,148
Mujer,124
Mujer,63
Hombre,126
Unisex,94
Hombre,97
Hombre,136
Hombre,88
Mujer,57
Unisex,88
Unisex,59
Hombre,155
Unisex,162
Hombre,114
Unisex,173
Unisex,172
Hombre,72
Hombre,96
Hombre,129
Mujer,196
Unisex,134
Hombre,151
Hombre,93
Unisex,183
Mujer,106
Unisex,169
Mujer,158
Mujer,150
Hombre,126
Hombre,125
Unisex,70
Hombre,117
Unisex,59
Mujer,165
Mujer,104
Mujer,200
Mujer,119
Mujer,185
Mujer,96
Unisex,87
Unisex,141
Mujer,89
Unisex,127
Unisex,170
Unisex,154
Unisex,133
Hombre,121
Mujer,113
Unisex,189
Unisex,199
Mujer,186
Mujer,118
Mujer,165
Hombre,80
Unisex,63
Mujer,77
Hombre,134
Hombre,101
Mujer,148
Hombre,105
Hombre,81
Mujer,77
Unisex,105
Unisex,50
Hombre,137
Unisex,79
Unisex,65
Hombre,95
Mujer,123
Unisex,165
Mujer,68
Unisex,184
Hombre,77
Hombre,182
Mujer,166
Mujer,181
Mujer,155
Mujer,54
Unisex,89
Mujer,83
Mujer,107
Unisex,191
Mujer,160
Mujer,105
Unisex,159
Mujer,150
Mujer,147
Hombre,83
Unisex,153
Unisex,96
Unisex,70
Mujer,134
Hombre,196
Unisex,179
Mujer,56
Unisex,117
Unisex,170
Hombre,171
Hombre,175
Mujer,194
Mujer,181
Hombre,135
Mujer,57
Hombre,115
Unisex,76
Mujer,78
Unisex,186
Mujer,102
Mujer,58
Hombre,97
Hombre,105
Hombre,107
Hombre,195
Unisex,83
Hombre,191
Mujer,114
Unisex,101
Unisex,173
Mujer,67
Unisex,153
Mujer,187
Mujer,72
Mujer,60
Mujer,179
Mujer,172
Unisex,97
Mujer,168
Unisex,61
Hombre,133
Mujer,105
Mujer,143
Unisex,65
Unisex,198
Hombre,175
Hombre,111
Hombre,125
Hombre,134
Unisex,129
Mujer,150
Hombre,156
Mujer,169
Unisex,118
Unisex,77
Hombre,115
Hombre,159
Hombre,149
Mujer,157
Hombre,137
Mujer,66
Unisex,114
Hombre,178
Unisex,185
Mujer,86
Hombre,79
Mujer,138
Hombre,102
Hombre,55
Hombre,61
Unisex,124
Mujer,103
Unisex,110
Mujer,71
Hombre,196
Unisex,121
Unisex,117
Mujer,150
Hombre,113
Hombre,174
Hombre,182
Hombre,194
Hombre,179
Hombre,160
Hombre,163
Hombre,188
Hombre,135
Mujer,118
Unisex,153
Hombre,176
Hombre,124
Unisex,190
Hombre,98
Unisex,145
Mujer,181
Unisex,73
Unisex,114
Hombre,198
Hombre,181
Hombre,78
Hombre,198
Unisex,182
Mujer,59
Hombre,112
Mujer,93
Hombre,88
Unisex,169
Hombre,101
Unisex,177
Hombre,170
Mujer,115
Hombre,115
Unisex,50
Mujer,155
Mujer,77
Hombre,184
Unisex,85
Unisex,196
Hombre,77
Unisex,175
Mujer,190
Hombre,178
Hombre,197
Mujer,115
Hombre,168
Hombre,76
Hombre,129
Mujer,153
Unisex,54
Hombre,88
Mujer,138
Hombre,185
Mujer,185
Hombre,80
Unisex,90
Hombre,105
Hombre,127
Mujer,122
Unisex,122
Hombre,116
Mujer,134
Hombre,159
Unisex,120
Hombre,76
Unisex,79
Mujer,189
Hombre,76
Unisex,80
Hombre,181
Hombre,54
Unisex,73
Hombre,77
Hombre,164
Hombre,110
Unisex,155
Unisex,102
Hombre,81
Hombre,66
Unisex,131
Hombre,134
Hombre,93
Unisex,176
Mujer,158
Unisex,198
Mujer,147
Hombre,185
Hombre,200
Unisex,61
Unisex,148
Mujer,135
Hombre,94
Mujer,99
Hombre,173
Mujer,70
Mujer,80
Hombre,127
Hombre,59
Mujer,184
Unisex,111
Mujer,133
Hombre,109
Mujer,194
Mujer,60
Mujer,151
Hombre,143
Mujer,151
Mujer,85
Unisex,194
Mujer,77
Unisex,98
Unisex,154
Mujer,151
Mujer,61
Unisex,132
Unisex,94
Unisex,130
Mujer,196
Hombre,89
Hombre,143
Mujer,119
Hombre,53
Hombre,165
Hombre,142
Unisex,171
Mujer,69
Mujer,85
Unisex,51
Mujer,133
Mujer,189
Hombre,134
Mujer,99
Unisex,96
Mujer,137
Hombre,74
Hombre,196
Mujer,54
Hombre,190
Hombre,80
Unisex,64
Hombre,55
Mujer,200
Hombre,103
Mujer,50
Mujer,125
Mujer,80
Mujer,140
Unisex,142
Unisex,131
Hombre,133
Hombre,163
Hombre,186
Mujer,176
Hombre,195
Mujer,56
Hombre,72
Hombre,76
Hombre,159
Unisex,139
Hombre,114
